name,category,muscleGroup,notes
Bench Press,strength,"chest,triceps,shoulders",Classic compound chest exercise
Squats,strength,"quadriceps,glutes,hamstrings,core",King of leg exercises
Deadlifts,strength,"back,glutes,hamstrings,core",Full body power movement
Pull-ups,strength,"back,biceps,core",Bodyweight back exercise
Push-ups,strength,"chest,triceps,shoulders,core",Classic bodyweight exercise
Running,cardio,full body,Great for cardiovascular fitness
Cycling,cardio,"quadriceps,hamstrings,calves",Low impact cardio
Swimming,cardio,full body,Full body cardio workout
Yoga,flexibility,full body,Improves flexibility and balance
Plank,strength,core,Isometric core exercise
Bicep Curls,strength,biceps,Isolation exercise for biceps
Tricep Dips,strength,"triceps,chest,shoulders",Compound tricep exercise
Lat Pulldown,strength,"back,biceps",Machine-based back exercise
Leg Press,strength,"quadriceps,glutes,hamstrings",Lower body machine exercise
Calf Raises,strength,calves,Isolation exercise for calves