workout,date,notes,exercise,set,reps,weight,duration,distance,set notes
Monday Chest Day,2024-01-15,Great chest workout,Bench Press,1,12,135,,,Warmup set
Monday Chest Day,2024-01-15,Great chest workout,Bench Press,2,10,155,,,Good form
Monday Chest Day,2024-01-15,Great chest workout,Bench Press,3,8,175,,,Felt heavy
Monday Chest Day,2024-01-15,Great chest workout,Bench Press,4,6,185,,,Max effort
Monday Chest Day,2024-01-15,Great chest workout,Push-ups,1,20,,,,To failure
Monday Chest Day,2024-01-15,Great chest workout,Push-ups,2,15,,,,Getting tired
Monday Chest Day,2024-01-15,Great chest workout,Push-ups,3,12,,,,Last set
Tuesday Cardio,2024-01-16,Morning run,Running,1,,,30,5,Good pace
Tuesday Cardio,2024-01-16,Morning run,Running,2,,,15,2.5,Cool down
Wednesday Legs,2024-01-17,Leg day!,Squats,1,15,135,,,Warmup
Wednesday Legs,2024-01-17,Leg day!,Squats,2,12,185,,,Good depth
Wednesday Legs,2024-01-17,Leg day!,Squats,3,10,205,,,Feeling strong
Wednesday Legs,2024-01-17,Leg day!,Squats,4,8,225,,,Heavy set
Wednesday Legs,2024-01-17,Leg day!,Leg Press,1,20,270,,,High reps
Wednesday Legs,2024-01-17,Leg day!,Leg Press,2,15,360,,,Burning
Wednesday Legs,2024-01-17,Leg day!,Leg Press,3,12,450,,,Max weight